Label	ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
BP for El Nino anal swab	BP	GO:0120039	plasma membrane bounded cell projection morphogenesis	157	0.262921434180109	1.47122302028623	0.00348097926526803	0.0478441261237394	0.0285267148810845	648	tags=27%, list=16%, signal=24%	ACTB/CDH1/MACF1/ACTG1/DNM2/NEO1/CTTN/NEDD4L/LRP4/CDC42/ARHGAP35/CDHR2/KIF13B/CTNNB1/PPP1R12B/SEMA4D/MYCBP2/PAFAH1B1/TRIO/VEGFA/APLP2/CPNE1/CFL1/MARK2/ABI2/DOCK7/SNX32/VLDLR/EVL/SZT2/ECE1/JUP/PTPRH/PLXNB2/KALRN/GOLGA4/PPP1R12A/SGK1/SRC/VIM/B4GALT5/DICER1/KIAA1755	0.431707695803346
CC for El Nino anal swab	CC	GO:0045177	apical part of cell	163	0.423131668110441	2.38729330264644	0.0000000001	0.00000018555	0.000000110632848272651	966	tags=48%, list=24%, signal=38%	CEACAM5/ACTB/SLC26A2/SLC26A3/ATP1A1/ACTG1/FLNB/MYH9/MYO1D/CEACAM6/ERBB3/MYO5B/SLC44A4/ATP8B1/EZR/MUC17/NEDD4L/ITLN1/CTSB/MYO1E/SCNN1A/ITPR3/CLIC5/MUC20/SLC6A8/PATJ/LIMA1/CDC42/CDHR2/MUC13/CEACAM7/SLC17A4/CTNNB1/FLII/SLC26A6/CLIC1/GNAS/SPECC1/SLC22A5/DLG1/ATP6V0D1/SNX5/LGMN/SLC38A1/ATP1B1/CFTR/STXBP2/BLTP1/CAPZB/PCM1/CA2/SHROOM3/MYH14/MYL6/PTPRH/PDE4D/IQGAP1/CYP4F12/EPCAM/PLS1/SLC60A2/CEACAM1/SLC20A2/CDHR5/SHROOM1/ERBB2/PLEC/AKR1A1/SLC39A14/SLC17A5/ANKS4B/LMO7/EPS8/IRF6/ABCC1/PFKM/SLC9A1/STX3/TJP1	NA
CC for El Nino anal swab	CC	GO:0015629	actin cytoskeleton	186	0.389530219316799	2.26819869372209	0.000000000853008985687709	0.000000791379086471772	0.00000047185406844398	1161	tags=49%, list=29%, signal=37%	AHNAK/DST/ACTB/CDH1/MACF1/ACTG1/DNM2/SPTBN1/FLNB/DIAPH1/ALDOA/MYH9/EEF1A1/MYO1D/LASP1/MYLK/MYO5B/SPTAN1/TPM4/EZR/CTTN/CGN/MYO1E/AKAP13/CLIC5/LIMA1/ARHGAP35/FLII/PPP1R12B/PDCD6IP/SPECC1/ACTN4/GSN/INF2/MYO18A/CFL1/MARK2/WDR1/ABI2/CAPZB/SEPTIN2/PXN/EVL/KRT19/SHROOM3/MYH14/CAPN2/HNRNPC/LPP/MYL6/NCOA5/KALRN/ABLIM1/PPP1R12A/SRC/IQGAP1/TRIOBP/CARMIL1/MYO6/PAWR/PLS1/VILL/BAIAP2L1/FHDC1/CDC42BPB/PIEZO1/ARPC3/DGKH/SHROOM1/PLEC/DYRK1A/SVIL/ARHGEF5/TAGLN2/ARHGAP21/LMO7/POF1B/CTNNA1/GBP1/TJP1/YES1/NCKAP1/DYNLL2/CAPG/FHL2/MYO9B/NOS1AP/SIPA1L3/RIGI/DUSP22/DOCK5/DCTN5	0.801215574617779
CC for El Nino anal swab	CC	GO:0031252	cell leading edge	168	0.389802542644528	2.24139768467914	0.0000000168781165254986	0.00000695941004734727	0.00000414949801043025	1150	tags=48%, list=29%, signal=35%	DST/ACTB/CDH1/MACF1/SPTBN1/DIAPH1/MYH9/EEF1A1/MYO1D/MYLK/EZR/CTTN/LIMA1/CDC42/PSD4/PLCE1/CTNNB1/FGD6/GNAS/GSN/ITGB1/PAFAH1B1/TLN1/P4HB/SNX5/ACAP2/CFL1/ABI2/RAPH1/CAPZB/PXN/SYNJ2/PABPC1/EVL/NDEL1/GBF1/BCAS3/AKT1/EGFR/ABLIM1/SRC/VIM/IQGAP1/CARMIL1/MYO6/SGCE/ITGAV/MKLN1/PLCG1/CDC42BPB/PIEZO1/ARPC3/CLCN3/ERBB2/APPL2/DOCK8/APP/ROCK1/PSD3/EPS8L3/PLA2G4F/ARPIN/PTPRJ/ARHGAP1/CTNNA1/EPS8/ITGB4/SLC9A1/STX3/NCKAP1/CYFIP1/WWC1/PLEKHA1/ARHGAP18/CAPG/MYO9B/ARHGEF2/ARHGAP45/RIGI/DUSP22	0.73376198835648
CC for El Nino anal swab	CC	GO:0030055	cell-substrate junction	184	0.364635765624143	2.12039081099957	0.0000000597129412835758	0.0000186884503038774	0.0000111428536077599	690	tags=34%, list=17%, signal=29%	AHNAK/DST/ACTB/LRP1/B2M/ACTG1/DNM2/FLNB/MYH9/LASP1/FAT1/TPM4/EZR/CTTN/ITGA3/IGF2R/YWHAZ/HSPA1A/HSPA1B/LIMA1/CDC42/PI4KA/CTNNB1/FLII/PDCD6IP/ACTN4/GSN/ITGB1/STX16/ERBIN/TLN1/P4HB/CAPN1/COL17A1/CHP1/CFL1/CLTC/HYOU1/PXN/DOCK7/GAK/JAK1/PPP1CB/PABPC1/EVL/HSPG2/CAPN2/GNB2/JUP/LPP/EGFR/PPP1R12A/SRC/VIM/IQGAP1/TRIOBP/CALR/ITGAV/KRAS/HSP90B1/GIT2/ARPC3	0.704975715167238
CC for El Nino anal swab	CC	GO:0030141	secretory granule	248	0.319597286148548	1.92282342263679	0.000000489797338460402	0.000100979884612586	0.000060208527366931	974	tags=37%, list=24%, signal=30%	PIGR/FTH1/HLA-B/B2M/DIAPH1/ALDOA/HLA-C/MYH9/EEF1A1/CEACAM6/PLAC8/PYGB/TMBIM1/SPTAN1/PKM/DNAJC5/ATP8A1/CTSD/UBR4/CTSB/TMSB4X/DYNC1H1/IGF2R/SCNN1A/SELENOP/HSPA1A/HSPA1B/ITPR3/VPS13A/ABHD2/PSEN1/ACTN4/VAMP8/HUWE1/GSN/QSOX1/VEGFA/HEBP2/DSP/ANPEP/APLP2/CAPN1/CPNE1/ANXA11/TMED10/CTSS/LGALS3/STXBP2/MLEC/TXNDC5/FTL/ANXA4/ECE1/CSNK2A2/JUP/VPS13B/ITGAL/KPNB1/IQGAP1/PADI2/APAF1/CALR/THBS1/LHFPL2/CCL28/CEACAM1/CD47/ITGAV/ITPR2/VAMP2/PDXK/CLCN3/SURF4/PHACTR2/CAB39/FLG2/HGSNAT/APP/EEF2/PRKCD/ROCK1/PSMD6/FAM3C/PTPRJ/ASAH1/ATP6V0A1/CTNNA1/NFKB1/MAPK1/STX3/NAPA	0.659444398037935
CC for El Nino anal swab	CC	GO:0005938	cell cortex	126	0.385871309613764	2.08424521879742	0.00000103065105733635	0.00019123730368876	0.00011402386204834	737	tags=37%, list=18%, signal=31%	DST/ACTB/CDH1/SPTBN1/FLNB/MYH9/EEF1A1/MYO1D/LASP1/MYO5B/SPTAN1/TPM4/EZR/CTTN/MICAL3/DYNC1H1/AKAP13/NUMA1/CLIC5/FRYL/CTNNB1/PSEN1/ACTN4/GSN/PAFAH1B1/TRAK1/CFL1/WDR1/CAPZB/SEPTIN2/PXN/CTBP1/KRT19/SHROOM3/CAPN2/AKT1/STIM1/IQGAP1/EPB41/MYO6/PLS1/ITPR2/MKLN1/PIEZO1/PHLDB1/ITCH/SHROOM1	0.643551836150722
CC for El Nino anal swab	CC	GO:0098797	plasma membrane protein complex	131	0.369464155842902	2.01160813446882	0.00000204211441863345	0.000344467573070397	0.00020538630421097	678	tags=37%, list=17%, signal=31%	CDH1/LRP1/HLA-B/ATP1A1/B2M/HLA-A/CTNND1/HLA-C/AKAP9/NEO1/ERBB3/CTTN/GNB1/ITGA3/HLA-DRA/TFRC/CFLAR/CTNNB1/GNAS/PSEN1/DLG1/ITGB1/ATP6V0D1/ATP1B1/CLTC/TMED10/CASP10/HLA-E/HSPG2/KRT19/LRP5/GNB2/JUP/UTRN/ABCB8/DLG3/EGFR/HLA-F/ITGAL/NCF4/PDE4D/HLA-DRB1/LRP6/RIPK1/SGCE/CEACAM1/ITGAV/VAMP2	0.627256739718528
CC for El Nino anal swab	CC	GO:0098862	cluster of actin-based cell projections	67	0.447315153639119	2.18194209407144	0.00000783439982489215	0.000818972127786043	0.000488306220171831	760	tags=46%, list=19%, signal=38%	ACTB/SLC26A3/FLNB/MYH9/MYO1D/ATP8B1/EZR/ITLN1/MYO1E/ITPR3/CLIC5/LIMA1/CDHR2/SLC17A4/FLII/SLC26A6/CLIC1/SLC22A5/PAFAH1B1/SNX5/CAPZB/MYH14/MYL6/TRIOBP/PLS1/DOCK4/SLC60A2/SLC20A2/PIEZO1/CDHR5/PLEC	0.593325476396405
CC for El Nino anal swab	CC	GO:0031253	cell projection membrane	118	0.368530084468323	1.97947576998039	0.00000794475790899961	0.000818972127786043	0.000488306220171831	1025	tags=48%, list=26%, signal=37%	SLC26A2/SLC26A3/MACF1/SPTBN1/DIAPH1/EEF1A1/MYO1D/EZR/ITLN1/ITGA3/SCNN1A/MUC20/LIMA1/PSD4/CDHR2/SLC17A4/CTNNB1/SLC26A6/SLC22A5/DLG1/ITGB1/TLN1/CDHR1/CFL1/SEPTIN2/PKD1/SYNJ2/PTPRH/UTRN/EGFR/SRC/BBIP1/MYO6/SGCE/SLC60A2/CEACAM1/ITGAV/PLCG1/SLC20A2/PIEZO1/PHLPP2/CDHR5/CLCN3/ERBB2/APPL2/DOCK8/NAPEPLD/PSD3/BBS9/EPS8L3/PLA2G4F/PTPRJ/EPS8/GNA13/NCKAP1/WWC1/PLEKHA1	0.593325476396405
